,piece,current_position,next_position,skip,reward
261,"(255, 0, 0)","(0, 3)","(1, 4)",-,0
262,"(255, 0, 0)","(1, 4)","(0, 3)",-,4
263,"(255, 0, 0)","(0, 3)","(1, 2)",-,0
264,"(255, 0, 0)","(1, 2)","(0, 3)",-,4
265,"(255, 0, 0)","(0, 3)","(1, 2)",-,0
266,"(255, 0, 0)","(1, 2)","(2, 3)",-,0
267,"(255, 0, 0)","(2, 3)","(1, 2)",-,0
268,"(255, 0, 0)","(1, 2)","(2, 1)",-,0
269,"(255, 0, 0)","(2, 1)","(1, 0)",-,0
270,"(255, 0, 0)","(1, 0)","(0, 1)",-,4
271,"(255, 0, 0)","(0, 1)","(1, 0)",-,0
272,"(255, 0, 0)","(1, 0)","(0, 1)",-,4
273,"(255, 0, 0)","(0, 1)","(1, 2)",-,0
274,"(255, 0, 0)","(1, 2)","(0, 3)",-,4
275,"(255, 0, 0)","(0, 3)","(1, 4)",-,0
276,"(255, 0, 0)","(1, 4)","(2, 5)",-,0
277,"(255, 0, 0)","(2, 5)","(1, 4)",-,0
278,"(255, 0, 0)","(1, 4)","(0, 3)",-,4
279,"(255, 0, 0)","(0, 3)","(1, 4)",-,0
280,"(255, 0, 0)","(1, 4)","(0, 3)",-,4
281,"(255, 0, 0)","(0, 3)","(1, 4)",-,0
282,"(255, 0, 0)","(1, 4)","(0, 5)",-,4
283,"(255, 0, 0)","(0, 5)","(1, 6)",-,0
284,"(255, 0, 0)","(1, 6)","(0, 5)",-,4
285,"(255, 0, 0)","(0, 5)","(1, 4)",-,0
286,"(255, 0, 0)","(1, 4)","(2, 5)",-,0
287,"(255, 0, 0)","(2, 5)","(1, 4)",-,0
288,"(255, 0, 0)","(1, 4)","(0, 5)",-,4
289,"(255, 0, 0)","(0, 5)","(1, 4)",-,0
290,"(255, 0, 0)","(1, 4)","(2, 3)",-,0
291,"(255, 0, 0)","(2, 3)","(1, 2)",-,0
292,"(255, 0, 0)","(1, 2)","(0, 3)",-,4
293,"(255, 0, 0)","(0, 3)","(1, 2)",-,0
294,"(255, 0, 0)","(1, 2)","(0, 3)",-,4
295,"(255, 0, 0)","(0, 3)","(1, 4)",-,0
296,"(255, 0, 0)","(1, 4)","(2, 3)",-,0
297,"(255, 0, 0)","(2, 3)","(1, 4)",-,0
298,"(255, 0, 0)","(1, 4)","(0, 3)",-,4
299,"(255, 0, 0)","(0, 3)","(1, 4)",-,0
300,"(255, 0, 0)","(1, 4)","(0, 3)",-,4
301,"(255, 0, 0)","(0, 3)","(1, 4)",-,0
302,"(255, 0, 0)","(1, 4)","(2, 3)",-,0
303,"(255, 0, 0)","(2, 3)","(1, 2)",-,0
304,"(255, 0, 0)","(1, 2)","(0, 3)",-,4
305,"(255, 0, 0)","(0, 3)","(1, 4)",-,0
306,"(255, 0, 0)","(1, 4)","(2, 5)",-,0
307,"(255, 0, 0)","(2, 5)","(1, 6)",-,0
308,"(255, 0, 0)","(1, 6)","(0, 7)",-,4
309,"(255, 0, 0)","(0, 7)","(1, 6)",-,0
310,"(255, 0, 0)","(1, 6)","(0, 7)",-,4
311,"(255, 0, 0)","(0, 7)","(1, 6)",-,0
312,"(255, 0, 0)","(1, 6)","(0, 7)",-,4
313,"(255, 0, 0)","(0, 7)","(1, 6)",-,0
314,"(255, 0, 0)","(1, 6)","(2, 7)",-,0
315,"(255, 0, 0)","(2, 7)","(3, 6)",-,0
316,"(255, 0, 0)","(3, 6)","(4, 5)",-,0
317,"(255, 0, 0)","(4, 5)","(3, 6)",-,0
318,"(255, 0, 0)","(3, 6)","(4, 5)",-,0
319,"(255, 0, 0)","(4, 5)","(3, 4)",-,0
320,"(255, 0, 0)","(3, 4)","(2, 3)",-,0
321,"(255, 0, 0)","(2, 3)","(1, 4)",-,0
322,"(255, 0, 0)","(1, 4)","(2, 3)",-,0
